black_rollouts,white_rollouts,result,duration_iters
13469448,1553675,1,21
462807,8126394,0,22
557985,1536913,0,22
8381044,782551,1,23
3319022,8091963,1,29
1132858,1761108,0,48
11428676,4974021,1,57
6888440,1272188,1,27
107553,105281,1,45
420464,6315404,0,32
1854021,349589,1,21
1263037,42522,1,21
18352653,1698150,1,25
257430,885034,1,23
401092,99462,1,23
581908,662898,1,21
520986,2955836,0,22
17085,711187,0,24
3277624,2179664,1,39
5640060,149341,1,23
16746861,310800,1,21
2077730,319736,1,31
1555761,2147042,0,30
157557,21073,1,29
1664966,11419431,0,22
121778,34416,1,33
8944220,742356,1,21
22162,8273992,0,22
27863,751010,0,72
1110773,3862713,0,26
20103,1208021,0,22
133042,11767770,0,24
861915,92922,1,31
189539,1545371,0,36
53247,94760,0,22
301533,4039146,0,22
166226,1665618,0,22
963700,39256,1,21
1432628,4890866,0,28
6500553,3339357,1,33
7193186,172342,1,23
2557020,8592291,0,22
47419,264665,0,28
27339,9982918,0,24
2394191,1174611,1,21
2933598,287216,1,29
3907567,72390,1,61
393118,30992,1,23
151471,4372892,0,28
70836,29123,1,23
18945796,949402,1,21
2070155,31628,1,21
6079514,3390819,1,53
509406,213620,1,21
87323,26171,0,62
2248495,10056034,1,53
582018,44898,1,35
26382,5786290,0,30
6115653,8378885,0,72
14696,263892,0,22
8826874,54857,1,25
1255314,16220864,0,22
6414011,286184,1,29
690493,67485,1,21
25365,778320,0,30
141279,2731046,0,30
515693,23170,1,21
17341,71157,0,30
2912077,691677,1,21
119253,858244,0,28
1040863,670822,1,31
2572795,58006,1,21
499454,95001,1,37
586995,17099,1,21
133087,67021,1,39
119711,2169746,0,36
7419395,5117382,1,77
1393670,2778154,0,42
862422,541796,1,33
178645,77709,0,28
96082,3334555,1,61
187592,10960976,0,26
4314269,718432,1,27
126616,1989224,0,22
153932,3060340,0,36
2037793,2707824,0,28
2806954,725680,1,23
859862,18874152,1,55
48991,9411632,0,22
398071,40191,1,39
5526004,1365865,1,23
20793,12003710,0,26
11696758,621239,1,21
14495674,274795,1,21
706666,15638450,0,22
123850,10447494,0,32
32004,79713,1,41
249786,165651,1,21
105423,28156,0,26
135580,7359529,0,32
16168524,1739897,1,21
6728551,1434602,1,29
112646,518606,0,22
162999,2632539,0,22
8687772,275226,1,21
170072,3965190,1,25
21530,129341,1,41
434479,1413181,0,22
1262968,720500,1,49
32881,82836,1,29
45977,4624868,0,22
18032050,18015688,0,40
21956,22266,0,32
434211,1995730,0,22
678301,12394755,0,26
19009,610233,0,22
462699,10321318,0,22
1380714,15375267,0,22
453359,9389769,0,22
60516,548495,0,24
14128096,254111,1,23
105610,165213,0,24
310332,3761157,0,34
41552,12776126,0,24
2046142,288007,1,21
179847,127136,1,23
2290703,6468249,1,43
822948,1806420,0,50
5592550,17410,1,23
58141,2480301,0,22
4307603,35275,1,39
947187,19320576,0,22
246748,211411,0,24
87445,1066632,0,22
8559052,92556,1,27
7235219,66502,1,23
265770,60346,0,32
37893,539153,0,22
81160,4912102,0,28
25458,150766,1,27
1876767,480242,0,22
425894,5896312,0,22
2919463,3517678,1,27
145720,4371938,0,22
10534827,2349763,1,25
3394588,10140953,0,22
2596835,247064,1,21
1962361,10790798,0,42
2105887,360715,1,23
22061,76246,0,26
571337,3359160,0,34
7078694,14268119,1,47
102881,2090625,1,29
43894,5193949,0,40
85813,7169516,0,28
59347,2120808,0,22
196298,11036093,0,22
448868,1639797,0,40
12412417,63514,1,23
46779,60635,0,26
10351322,17525192,0,46
4160666,1049989,1,21
2922148,134654,1,21
7022978,2345328,1,25
1167586,6377630,0,30
4411553,56510,1,21
25998,10831059,0,28
4088139,33639,1,29
45747,3859249,0,34
440817,553866,0,22
2954614,2025557,1,41
7416271,14058469,0,32
225214,7468684,0,34
57597,22885,1,37
26911,2162093,0,44
11254114,455527,1,21
102156,103080,0,22
15783,8304771,0,24
4091009,51090,1,21
1092779,22893,1,23
169508,25676,1,25
40896,201391,0,24
4372225,10074987,0,52
112706,36675,1,23
1743764,7039820,0,24
25271,129401,1,35
127971,9541864,0,22
18099,8699979,0,22
1705223,8474244,0,30
435058,2863657,0,22
197978,401616,0,26
4966588,203053,1,21
2324574,386289,1,21
280963,4360366,0,36
3082184,287377,1,35
1018544,3693800,0,36
425951,8617075,0,28
340681,541492,1,23
72449,1375718,0,38
135831,13097373,0,28
361914,8968292,0,22
1391904,850059,1,21
752639,71672,1,25
15478,913168,0,22
647552,14540627,1,59
10670203,29773,1,23
956323,10245975,0,32
105389,739913,0,36
57028,184141,0,22
7466205,100198,1,37
3309353,8561491,1,25
6900412,796851,1,21
1718954,16748325,1,59
744443,1825847,0,22
348953,2168968,1,21
164666,2178104,0,22
95903,271982,1,33
355207,813622,1,27
16177569,7385668,1,27
72620,275989,1,27
24735,441501,1,33
7011679,65193,1,33
18864874,5155856,1,57
183798,63131,0,30
1522780,1839882,0,22
39660,12066144,0,24
111194,19398621,0,22
192271,25356,1,33
201406,82301,0,22
367609,160432,1,23
313119,7805610,0,28
39016,369162,0,22
17781,575521,0,24
23269,59254,0,36
78914,2387996,0,22
10343797,60508,1,25
4183811,975639,1,29
29684,1126712,0,24
15125224,866130,1,21
132807,385496,1,33
9380827,344130,1,27
76989,256153,0,22
1744682,2564212,1,23
3674813,126924,1,25
1653164,1149008,1,45
10955905,77061,1,21
18819812,32946,1,25
7518240,11406017,0,56
5705240,33752,1,23
85854,6007788,0,22
145495,8360976,0,26
296819,899668,0,34
101902,26320,1,23
4282448,39153,1,21
147753,49360,0,28
293719,342768,0,36
385475,158887,0,24
672733,14896,1,25
1135360,17932726,0,48
115090,2919413,0,28
7116137,39913,1,23
202031,918380,1,23
1621657,336822,1,21
17365009,150084,1,21
284010,3715839,0,54
30176,3871584,0,46
1551279,12069642,0,22
209032,252512,0,24
39069,45383,1,27
26499,2736772,0,30
3377021,7993639,0,56
4190962,674211,1,23
3861135,1205711,1,43
1490927,70484,1,35
4433863,613035,1,21
527130,10249406,0,22
2088495,6316204,1,55
8948472,5679212,1,67
296417,94373,1,25
18570837,40224,1,27
6068399,918769,1,27
551511,1794295,1,21
1220646,134843,1,21
769645,89100,0,28
2126422,1994940,1,21
16236299,528628,1,21
46742,539295,1,33
10702929,46075,1,29
3139136,7375775,0,22
62582,119302,0,32
98510,6922464,0,24
479770,13195609,0,22
77618,152436,1,33
8959598,20699,1,21
254147,344567,1,25
5240230,1808768,1,31
1182035,237013,1,23
493194,19642,1,21
